2012-07-12 10:42:19+0800 [scrapy] INFO: Scrapy 0.14.4 started (bot: coreSpider)
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=inside_contact.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxfeedback.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxbank/login.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=personal.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=business.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=inside.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=personal.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=personal_deposit.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=personal_checking.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=personal_loans.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=personal_cards.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=personal_investments.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=personal_other.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=business.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=business_deposit.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=business_lending.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=business_cards.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=business_insurance.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=business_retirement.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=business_other.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=inside.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=inside_about.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=inside_contact.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxcgi.exe 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=inside_investor.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=inside_press.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=inside_careers.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxsurvey_questions.aspx?step=a 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxsurvey_questions.aspx?step=a 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=privacy.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/survey_questions.aspxdefault.aspx?content=security.htm 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://www.watchfire.com/statements/terms.aspx 
2012-07-12 10:42:25+0800 [coreSpider] DEBUG: Crawled (200) <GET http://demo.testfire.net/default.aspx?content=inside_investor.htm> (referer: http://demo.testfire.net/)
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmbank/login.aspx 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside_contact.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmfeedback.aspx 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmbank/login.aspx 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=personal.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=business.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=personal.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=personal_deposit.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=personal_checking.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=personal_loans.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=personal_cards.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=personal_investments.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=personal_other.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=business.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=business_deposit.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=business_lending.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=business_cards.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=business_insurance.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=business_retirement.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=business_other.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside_about.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside_contact.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmcgi.exe 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside_investor.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside_press.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside_careers.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=inside_press.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=privacy.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=inside_investor.htmdefault.aspx?content=security.htm 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://www.watchfire.com/statements/terms.aspx 
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Crawled (200) <GET http://demo.testfire.net/default.aspx?content=business_other.htm> (referer: http://demo.testfire.net/)
2012-07-12 10:42:27+0800 [coreSpider] DEBUG: Crawled (200) <GET http://demo.testfire.net/default.aspx?content=inside_about.htm> (referer: http://demo.testfire.net/)
